circuit;area;power;timing;ssim;compression
copyA_11_LOBA0_4;89.487230;91.051737;94.459325;0.966163;0.459
copyA_11_LOBA1_4;89.490008;91.049361;94.464399;0.960277;0.453
copyA_11_LOBA2_4;67.154764;71.360464;39.015693;0.951457;0.797
copyA_12_LOBA0_4;89.487230;91.051737;94.459325;0.966198;0.460
copyA_12_LOBA1_4;89.490008;91.049361;94.464399;0.960794;0.475
copyA_12_LOBA2_4;67.708306;71.889143;40.866247;0.950151;0.801
copyA_13_LOBA0_4;89.487230;91.051737;94.459325;0.966598;0.468
copyA_13_LOBA1_4;89.490008;91.049361;94.464399;0.960753;0.505
copyA_14_LOBA0_4;89.487230;91.051737;94.459325;0.963033;0.532
copyA_14_LOBA1_4;89.490008;91.049361;94.464399;0.957962;0.530
copyB_6_LOBA0_4;89.491440;91.053757;94.447095;0.966176;0.460
copyB_6_LOBA1_4;89.489890;91.050670;94.466114;0.960100;0.458
copyB_6_LOBA2_4;62.750808;67.066305;39.060769;0.951338;0.788
copyB_7_LOBA0_4;89.491440;91.053757;94.447095;0.966176;0.460
copyB_7_LOBA1_4;89.489890;91.050670;94.466114;0.960103;0.457
copyB_7_LOBA2_4;63.500567;67.718901;39.563564;0.951494;0.788
copyB_8_LOBA0_4;89.491440;91.053757;94.447095;0.966176;0.460
copyB_8_LOBA1_4;89.489890;91.050670;94.466114;0.960083;0.458
copyB_8_LOBA2_4;64.833980;69.052975;44.879804;0.951671;0.788
copyB_9_LOBA0_4;89.491440;91.053757;94.447095;0.966176;0.460
copyB_9_LOBA1_4;89.489890;91.050670;94.466114;0.960077;0.457
copyB_9_LOBA2_4;65.705791;69.846134;47.015087;0.951288;0.790
copyB_10_LOBA0_4;89.491440;91.053757;94.447095;0.966147;0.460
copyB_10_LOBA1_4;89.489890;91.050670;94.466114;0.960063;0.458
copyB_10_LOBA2_4;67.647646;71.767643;51.638801;0.951057;0.792
copyB_11_LOBA0_4;89.491440;91.053757;94.447095;0.966166;0.459
copyB_11_LOBA1_4;89.489890;91.050670;94.466114;0.960308;0.455
copyB_11_LOBA2_4;68.210660;72.300163;53.424981;0.951406;0.795
copyB_12_LOBA0_4;89.491440;91.053757;94.447095;0.966308;0.460
copyB_12_LOBA1_4;89.489890;91.050670;94.466114;0.960814;0.474
copyB_13_LOBA0_4;89.491440;91.053757;94.447095;0.966821;0.473
copyB_13_LOBA1_4;89.489890;91.050670;94.466114;0.960808;0.502
copyB_14_LOBA0_4;89.491440;91.053757;94.447095;0.964001;0.535
copyB_14_LOBA1_4;89.489890;91.050670;94.466114;0.958741;0.543
eta1_6_LOBA0_4;89.485447;91.040369;94.455450;0.966176;0.460
eta1_6_LOBA1_4;62.757619;67.173862;35.381419;0.960100;0.458
eta1_6_LOBA2_4;89.496585;91.042873;94.427295;0.951420;0.788
eta1_7_LOBA0_4;89.489159;91.048778;94.463606;0.966176;0.460
eta1_7_LOBA1_4;63.463499;67.813369;40.135205;0.960103;0.457
eta1_7_LOBA2_4;62.752854;67.105572;39.376197;0.951476;0.804
eta1_8_LOBA0_4;89.491820;91.044709;94.455911;0.966176;0.460
eta1_8_LOBA1_4;64.533573;68.934890;29.182761;0.960083;0.458
eta1_8_LOBA2_4;89.495738;91.044467;94.415165;0.951714;0.788
eta1_9_LOBA0_4;89.487172;91.042859;94.462628;0.966176;0.460
eta1_9_LOBA1_4;89.489364;91.048465;94.462536;0.960077;0.457
eta1_9_LOBA2_4;89.499888;91.048778;94.423600;0.951155;0.791
eta1_10_LOBA0_4;89.487815;91.042276;94.469095;0.966164;0.460
eta1_10_LOBA1_4;89.487084;91.044837;94.457175;0.960033;0.458
eta1_10_LOBA2_4;66.214166;70.523201;28.846504;0.950828;0.793
eta1_11_LOBA0_4;89.487552;91.038534;94.447781;0.966174;0.459
eta1_11_LOBA1_4;89.487084;91.040540;94.461660;0.960288;0.458
eta1_11_LOBA2_4;66.748677;71.014746;30.900702;0.951432;0.796
eta1_12_LOBA0_4;89.485740;91.039814;94.462346;0.966358;0.460
eta1_12_LOBA1_4;89.486558;91.039487;94.460115;0.960767;0.474
eta1_13_LOBA0_4;89.488750;91.050456;94.452157;0.966733;0.472
eta1_13_LOBA1_4;89.485418;91.040355;94.466594;0.960819;0.501
eta1_14_LOBA0_4;89.490826;91.044908;94.453848;0.963550;0.542
eta1_14_LOBA1_4;89.488955;91.040213;94.458336;0.958380;0.544
loa_6_LOBA0_4;89.493662;91.045619;94.443398;0.966176;0.460
loa_6_LOBA1_4;89.487084;91.043827;94.461902;0.960100;0.458
loa_6_LOBA2_4;89.495591;91.046686;94.452956;0.951420;0.788
loa_7_LOBA0_4;89.493662;91.045619;94.443398;0.966176;0.460
loa_7_LOBA1_4;89.487084;91.043827;94.461902;0.960103;0.457
loa_7_LOBA2_4;89.495591;91.046686;94.452956;0.951476;0.804
loa_8_LOBA0_4;89.493662;91.045619;94.443398;0.966176;0.460
loa_8_LOBA1_4;89.487084;91.043827;94.461902;0.960083;0.458
loa_8_LOBA2_4;89.495591;91.046686;94.452956;0.951714;0.788
loa_9_LOBA0_4;89.493662;91.045619;94.443398;0.966176;0.460
loa_9_LOBA1_4;89.487084;91.043827;94.461902;0.960077;0.457
loa_9_LOBA2_4;89.495591;91.046686;94.452956;0.951155;0.791
loa_10_LOBA0_4;89.493662;91.045619;94.443398;0.966164;0.460
loa_10_LOBA1_4;89.487084;91.043827;94.461902;0.960033;0.458
loa_10_LOBA2_4;89.495591;91.046686;94.452956;0.950828;0.793
loa_11_LOBA0_4;89.493662;91.045619;94.443398;0.966174;0.459
loa_11_LOBA1_4;89.487084;91.043827;94.461902;0.960288;0.458
loa_11_LOBA2_4;89.495591;91.046686;94.452956;0.951432;0.796
loa_12_LOBA0_4;89.493662;91.045619;94.443398;0.966342;0.460
loa_12_LOBA1_4;89.487084;91.043827;94.461902;0.960847;0.473
loa_12_LOBA2_4;89.495591;91.046686;94.452956;0.950179;0.802
loa_13_LOBA0_4;89.493662;91.045619;94.443398;0.966797;0.465
loa_13_LOBA1_4;89.487084;91.043827;94.461902;0.960791;0.499
loa_14_LOBA0_4;89.493662;91.045619;94.443398;0.963097;0.533
loa_14_LOBA1_4;89.487084;91.043827;94.461902;0.958216;0.551
trunc0_6_LOBA0_4;89.486645;91.042532;94.445002;0.966176;0.460
trunc0_6_LOBA1_4;89.484073;91.048180;94.446369;0.960100;0.458
trunc0_6_LOBA2_4;62.717510;67.047099;36.810204;0.951338;0.788
trunc0_7_LOBA0_4;89.486645;91.042532;94.445002;0.966176;0.460
trunc0_7_LOBA1_4;89.484073;91.048180;94.446369;0.960103;0.457
trunc0_7_LOBA2_4;63.553861;67.799284;41.696158;0.951494;0.788
trunc0_8_LOBA0_4;89.486645;91.042532;94.445002;0.966176;0.460
trunc0_8_LOBA1_4;89.484073;91.048180;94.446369;0.960083;0.458
trunc0_8_LOBA2_4;64.800595;69.030211;43.721055;0.951671;0.788
trunc0_9_LOBA0_4;89.486645;91.042532;94.445002;0.966176;0.460
trunc0_9_LOBA1_4;89.484073;91.048180;94.446369;0.960077;0.457
trunc0_9_LOBA2_4;65.723389;69.882840;45.823093;0.951288;0.790
trunc0_10_LOBA0_4;89.486645;91.042532;94.445002;0.966147;0.460
trunc0_10_LOBA1_4;89.484073;91.048180;94.446369;0.960063;0.458
trunc0_10_LOBA2_4;67.557314;71.656388;52.911610;0.951057;0.792
trunc0_11_LOBA0_4;89.486645;91.042532;94.445002;0.966166;0.459
trunc0_11_LOBA1_4;89.484073;91.048180;94.446369;0.960308;0.455
trunc0_11_LOBA2_4;68.208263;72.303008;53.988243;0.951406;0.795
trunc0_12_LOBA0_4;89.486645;91.042532;94.445002;0.966308;0.460
trunc0_12_LOBA1_4;89.484073;91.048180;94.446369;0.960814;0.474
trunc0_13_LOBA0_4;89.486645;91.042532;94.445002;0.966821;0.473
trunc0_13_LOBA1_4;89.484073;91.048180;94.446369;0.960808;0.502
trunc0_14_LOBA0_4;89.486645;91.042532;94.445002;0.963807;0.537
trunc0_14_LOBA1_4;89.484073;91.048180;94.446369;0.958864;0.552
trunc1_6_LOBA0_4;89.486645;91.042532;94.445002;0.966173;0.460
trunc1_6_LOBA1_4;89.484073;91.048180;94.446369;0.960136;0.456
trunc1_6_LOBA2_4;62.711196;67.031876;36.771759;0.951463;0.788
trunc1_7_LOBA0_4;89.486645;91.042532;94.445002;0.966173;0.460
trunc1_7_LOBA1_4;89.484073;91.048180;94.446369;0.960124;0.457
trunc1_7_LOBA2_4;63.459611;67.700122;38.655335;0.951480;0.787
trunc1_8_LOBA0_4;89.486645;91.042532;94.445002;0.966173;0.460
trunc1_8_LOBA1_4;89.484073;91.048180;94.446369;0.959893;0.457
trunc1_8_LOBA2_4;64.808049;69.074884;43.103313;0.951723;0.788
trunc1_9_LOBA0_4;89.486645;91.042532;94.445002;0.966173;0.460
trunc1_9_LOBA1_4;89.484073;91.048180;94.446369;0.959891;0.457
trunc1_9_LOBA2_4;65.654339;69.809855;44.995431;0.951186;0.790
trunc1_10_LOBA0_4;89.486645;91.042532;94.445002;0.966156;0.459
trunc1_10_LOBA1_4;89.484073;91.048180;94.446369;0.959845;0.457
trunc1_10_LOBA2_4;67.625136;71.745449;48.589267;0.950817;0.794
trunc1_11_LOBA0_4;89.486645;91.042532;94.445002;0.966182;0.459
trunc1_11_LOBA1_4;89.484073;91.048180;94.446369;0.960289;0.459
trunc1_11_LOBA2_4;68.065456;72.174253;50.523992;0.951432;0.796
trunc1_12_LOBA0_4;89.486645;91.042532;94.445002;0.966344;0.459
trunc1_12_LOBA1_4;89.484073;91.048180;94.446369;0.960832;0.473
trunc1_12_LOBA2_4;68.676179;72.753722;52.916389;0.950174;0.802
trunc1_13_LOBA0_4;89.486645;91.042532;94.445002;0.966748;0.470
trunc1_13_LOBA1_4;89.484073;91.048180;94.446369;0.960866;0.505
trunc1_14_LOBA0_4;89.486645;91.042532;94.445002;0.963605;0.539
trunc1_14_LOBA1_4;89.484073;91.048180;94.446369;0.957804;0.546
