circuit;area;power;timing;ssim;compression
trunc0_14_DRUM_6;100189.815;3817.490;24956.771;0.958524;0.652
trunc1_6_DRUM_8;119208.198;4641.260;45893.500;0.986558;0.507
trunc1_6_DRUM_7;115910.001;4474.630;47590.199;0.982818;0.509
trunc1_6_DRUM_6;113270.981;4342.820;46851.316;0.980957;0.511
trunc1_6_DRUM_5;109192.790;4152.660;47098.363;0.953276;0.520
trunc1_7_DRUM_8;117706.703;4586.820;43995.930;0.986564;0.507
trunc1_7_DRUM_7;114524.160;4416.860;45386.211;0.982805;0.509
trunc1_7_DRUM_6;111992.439;4286.310;45193.230;0.980956;0.511
trunc1_7_DRUM_5;107880.382;4104.160;45556.152;0.951663;0.520
trunc1_8_DRUM_8;116548.583;4540.830;41898.289;0.986620;0.507
trunc1_8_DRUM_7;113370.464;4369.800;43282.496;0.982794;0.509
trunc1_8_DRUM_6;110646.460;4237.300;42696.684;0.980946;0.511
trunc1_8_DRUM_5;106367.435;4047.500;42608.434;0.953252;0.521
trunc1_9_DRUM_8;115106.611;4485.220;38646.988;0.986600;0.507
trunc1_9_DRUM_7;111791.751;4312.660;40268.117;0.982996;0.526
trunc1_9_DRUM_6;109131.743;4176.840;39528.910;0.980955;0.512
trunc1_9_DRUM_5;104840.823;3991.290;39913.145;0.951336;0.520
trunc1_10_DRUM_8;113580.245;4423.340;37390.340;0.986499;0.522
trunc1_10_DRUM_7;110459.388;4254.300;38407.391;0.983041;0.506
trunc1_10_DRUM_6;107697.783;4113.900;38089.855;0.981065;0.509
trunc1_10_DRUM_5;103278.232;3923.500;38228.695;0.952657;0.520
trunc1_11_DRUM_8;111595.733;4348.590;34559.465;0.986433;0.506
trunc1_11_DRUM_7;108603.998;4187.060;35810.789;0.982721;0.508
trunc1_11_DRUM_6;105933.128;4043.460;35849.016;0.981005;0.510
trunc1_11_DRUM_5;101571.772;3858.910;35842.668;0.951949;0.519
trunc1_12_DRUM_8;109923.877;4284.010;32479.629;0.985961;0.524
trunc1_12_DRUM_7;106869.031;4132.810;33808.090;0.982259;0.509
trunc1_12_DRUM_6;104041.906;3980.100;33735.793;0.980115;0.512
trunc1_12_DRUM_5;99812.475;3793.560;33227.371;0.951009;0.519
trunc1_13_DRUM_8;108128.797;4217.130;29718.527;0.980724;0.537
trunc1_13_DRUM_7;104852.914;4043.300;30467.461;0.977169;0.539
trunc1_13_DRUM_6;102489.194;3924.420;31343.734;0.973628;0.542
trunc1_14_DRUM_8;106187.342;4135.070;27592.945;0.969156;0.643
trunc1_14_DRUM_7;102508.610;3949.810;28141.568;0.966445;0.650
trunc1_14_DRUM_6;100228.006;3837.670;29293.217;0.963831;0.647
copyA_6_LOBA0_4;17675.551;628.960;2334.923;0.966176;0.460
copyA_6_LOBA1_4;17670.881;629.127;2332.785;0.960100;0.458
copyA_6_LOBA2_4;63683.002;2352.270;26542.648;0.951346;0.789
copyA_7_LOBA0_4;17675.551;628.960;2334.923;0.966176;0.460
